Year	Period	TRADETYPE	FLOW	PARTENAIRE	HS2012	POIDNET	QUANTITE	VALEURINSAE	
2013	11	CG	I	ZZ_Monde	1006	200403990.000	3447164.000	23482812260.075	
2015	12	CG	I	ZZ_Monde	1006	176915608.000		58334595682.375	
2015	11	CG	I	ZZ_Monde	1006	174352315.000		52723041076.036	
2014	10	CG	I	ZZ_Monde	1006	170036542.000	2792689.000	60871542373.552	
2014	09	CG	I	ZZ_Monde	1006	165321100.500	2908020.000	61489420130.802	
2001	07	CG	I	ZZ_Monde	2523	163497310.000	0.000	4576444066.000	
2013	10	CG	I	ZZ_Monde	1006	162667584.000	2255210.000	18950298905.285	
2010	08	CG	ET	ZZ_Monde	1006	159888200.000	618044.000	3764049750.000	
2013	09	CG	I	ZZ_Monde	1006	157997761.000	868179754.000	29780048402.203	
2001	12	CG	I	ZZ_Monde	2523	156205865.000	0.000	4145094761.000	
2009	08	CG	I	ZZ_Monde	2523	153706780.000	0.000	4806652272.000	
1999	10	CG	I	ZZ_Monde	2523	153159530.000	0.000	3877820629.000	
2011	04	CG	I	ZZ_Monde	2523	151208730.000		5098575638.000	
2015	10	CG	I	ZZ_Monde	1006	146015066.000		42393133932.654	
2013	12	CG	I	ZZ_Monde	1006	140733353.000	1989112.000	18527171656.724	
2008	09	CG	I	ZZ_Monde	2710	140544482.000	0.000	52560800267.000	
2014	11	CG	I	ZZ_Monde	1006	138173312.000	2382308.000	48863421027.439	
2015	09	CG	I	ZZ_Monde	1006	131064590.000		34633507116.269	
2014	12	CG	I	ZZ_Monde	1006	129767046.000	2217411.000	45574737383.310	
2013	07	CG	I	ZZ_Monde	1006	129355746.000	119340.000	36604340884.259	
2008	10	CG	I	ZZ_Monde	2710	124166905.000	0.000	32219538501.000	
2012	10	CG	I	ZZ_Monde	2523	123893300.000		4946428825.000	
2011	06	CG	I	ZZ_Monde	2523	123186533.000		4226859388.000	
2000	07	CG	I	ZZ_Monde	2523	120525548.000	0.000	3034279236.000	
2009	01	CG	I	ZZ_Monde	2710	119822588.000	0.000	33404218820.000	
2012	02	CG	I	ZZ_Monde	2523	118843953.000		4470340893.000	
2014	07	CG	I	ZZ_Monde	1006	117727148.000	2016428.000	43639248725.487	
2016	02	CG	I	ZZ_Monde	2523	116555727.480		4089640714.800	
2014	03	CG	I	ZZ_Monde	1006	115648517.000	2446173.000	49928036551.625	
2013	08	CG	I	ZZ_Monde	2523	115377540.000		4646013540.000	
2011	07	CG	I	ZZ_Monde	2523	114578890.000		4469881579.000	
2014	03	CG	I	ZZ_Monde	2523	112696168.000		4041736175.000	
2011	10	CG	I	ZZ_Monde	2523	112471535.000		4385853818.000	
2012	03	CG	I	ZZ_Monde	2523	112363467.000		4733830385.000	
2006	08	CG	I	ZZ_Monde	2523	111016430.000	0.000	4271361993.000	
2009	11	CG	I	ZZ_Monde	1006	110813353.000	0.000	6657556237.000	
2013	06	CG	I	ZZ_Monde	2523	110655094.000		4377223582.000	
2006	06	CG	I	ZZ_Monde	2523	110386462.000	0.000	3960375392.000	
2013	08	CG	I	ZZ_Monde	1006	109711451.000	252460.000	29472112294.356	
2014	04	CG	I	ZZ_Monde	1006	109602545.000	1584907.000	37750639834.534	
